"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"13.04.2021","63.533,8","59.860,0","63.533,8","59.860,0","82,85K","6,12%"
"12.04.2021","59.868,3","60.150,0","60.657,8","59.684,0","56,38K","-0,18%"
"11.04.2021","59.976,5","59.763,2","60.436,6","59.456,2","41,16K","0,43%"
"10.04.2021","59.722,6","58.155,4","60.758,4","58.110,0","69,91K","2,74%"
"09.04.2021","58.127,6","58.100,0","58.543,1","57.760,1","40,83K","0,09%"
"08.04.2021","58.073,5","55.973,5","58.073,5","55.973,5","44,28K","3,80%"
"07.04.2021","55.947,2","57.989,0","58.327,1","55.703,4","71,23K","-3,52%"
"06.04.2021","57.991,3","59.162,0","59.277,5","57.647,7","54,20K","-1,70%"
"05.04.2021","58.993,4","58.242,4","59.024,7","56.986,8","54,26K","1,38%"
"04.04.2021","58.192,8","56.818,5","58.192,8","56.818,5","41,31K","2,00%"
"03.04.2021","57.053,6","58.958,0","59.622,6","57.053,6","47,41K","-3,26%"
"02.04.2021","58.973,2","58.786,0","59.742,7","58.687,7","47,38K","0,44%"
"01.04.2021","58.714,9","58.726,7","59.217,4","58.624,0","47,42K","-0,05%"
"31.03.2021","58.744,8","58.767,4","59.222,6","57.611,7","60,98K","-0,02%"
"30.03.2021","58.757,3","57.658,4","59.011,6","57.151,0","55,12K","1,99%"
"29.03.2021","57.610,1","55.794,4","58.148,8","55.302,2","67,86K","3,32%"
"28.03.2021","55.756,7","55.956,6","56.249,9","54.965,4","39,05K","-0,18%"
"27.03.2021","55.855,8","55.205,1","56.455,8","54.536,4","50,11K","1,52%"
"26.03.2021","55.022,1","51.310,9","55.022,1","51.310,9","63,81K","7,23%"
"25.03.2021","51.310,3","52.429,0","52.929,5","51.092,6","87,40K","-1,96%"
"24.03.2021","52.338,5","54.270,4","56.993,9","52.338,5","83,54K","-3,63%"
"23.03.2021","54.310,0","54.088,9","55.639,5","53.282,7","59,79K","0,23%"
"22.03.2021","54.185,2","57.440,9","57.815,2","54.185,2","62,58K","-5,58%"
"21.03.2021","57.385,0","58.040,4","58.364,1","56.160,0","48,56K","-1,21%"
"20.03.2021","58.090,0","58.007,9","59.553,7","58.007,9","44,48K","-0,01%"
"19.03.2021","58.097,8","57.573,2","58.958,1","57.500,0","52,39K","0,78%"
"18.03.2021","57.645,4","59.108,4","59.340,9","57.645,4","66,58K","-2,15%"
"17.03.2021","58.914,2","56.911,6","58.914,2","54.525,1","70,42K","3,59%"
"16.03.2021","56.874,4","55.677,1","56.874,4","54.350,0","77,99K","2,29%"
"15.03.2021","55.603,2","59.149,6","60.386,7","55.603,2","102,77K","-6,04%"
"14.03.2021","59.176,1","61.192,4","61.296,2","59.176,1","52,60K","-3,31%"
"13.03.2021","61.200,0","57.286,5","61.360,3","56.435,0","83,25K","6,87%"
"12.03.2021","57.266,3","57.895,6","57.895,6","55.974,1","73,41K","-0,90%"
"11.03.2021","57.787,0","56.050,0","57.840,3","54.635,2","81,92K","3,51%"
"10.03.2021","55.827,2","54.900,1","56.928,2","53.567,0","84,75K","1,77%"
"09.03.2021","54.858,1","52.436,6","54.858,1","51.987,4","71,66K","4,87%"
"08.03.2021","52.310,0","50.871,2","52.310,0","49.675,5","66,99K","2,60%"
"07.03.2021","50.984,0","48.890,5","50.984,0","48.890,5","55,24K","4,39%"
"06.03.2021","48.837,9","48.841,7","48.946,3","47.571,8","44,40K","0,08%"
"05.03.2021","48.800,0","48.363,4","49.120,0","46.733,6","78,19K","0,81%"
"04.03.2021","48.408,1","50.167,2","51.272,6","48.046,3","82,65K","-3,84%"
"03.03.2021","50.341,1","48.404,3","51.470,0","48.404,3","81,04K","4,05%"
"02.03.2021","48.381,4","49.567,9","49.567,9","47.417,9","64,22K","-2,42%"
"01.03.2021","49.581,5","45.202,9","49.705,8","45.202,9","85,09K","9,92%"
"28.02.2021","45.106,7","45.892,8","46.271,3","43.657,8","83,06K","-2,19%"
"27.02.2021","46.116,6","46.336,0","47.592,5","46.116,6","66,06K","-0,48%"
"26.02.2021","46.337,1","47.040,2","47.809,1","44.462,8","109,42K","-1,26%"
"25.02.2021","46.928,5","49.727,9","51.357,7","46.928,5","83,31K","-5,52%"
"24.02.2021","49.669,6","48.915,6","51.172,6","48.759,3","91,88K","1,53%"
"23.02.2021","48.922,3","54.061,3","54.061,3","46.224,8","169,38K","-9,56%"
"22.02.2021","54.094,6","57.461,8","57.461,8","52.751,1","134,02K","-5,79%"
"21.02.2021","57.420,2","55.904,6","58.004,1","55.610,7","58,17K","2,69%"
"20.02.2021","55.915,6","56.030,7","57.424,8","55.583,1","80,95K","0,05%"
"19.02.2021","55.886,4","51.640,6","56.197,3","50.916,0","79,66K","8,35%"
"18.02.2021","51.578,5","52.186,7","52.294,0","51.392,2","60,76K","-0,91%"
"17.02.2021","52.050,8","49.193,4","52.341,8","49.193,4","85,74K","5,88%"
