"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"16.02.2021","49.161,6","47.853,8","49.246,9","47.686,4","88,81K","2,57%"
"15.02.2021","47.931,7","48.621,5","48.621,5","46.188,0","79,40K","-1,37%"
"14.02.2021","48.600,0","47.139,0","49.474,8","47.139,0","73,74K","3,07%"
"13.02.2021","47.153,6","47.447,0","47.863,9","46.576,9","63,77K","-0,40%"
"12.02.2021","47.345,2","47.994,0","48.300,0","46.889,9","85,87K","-1,37%"
"11.02.2021","48.004,6","44.857,4","48.004,6","44.270,3","89,56K","7,08%"
"10.02.2021","44.828,8","46.446,1","46.660,9","44.632,1","97,15K","-3,62%"
"09.02.2021","46.511,4","46.584,5","47.558,5","45.704,6","115,50K","0,32%"
"08.02.2021","46.365,0","38.817,9","46.365,0","38.479,0","138,60K","19,34%"
"07.02.2021","38.850,0","38.730,2","39.575,1","38.192,8","84,36K","-0,93%"
"06.02.2021","39.213,9","38.400,0","40.733,3","38.400,0","98,76K","2,40%"
"05.02.2021","38.293,9","36.954,3","38.293,9","36.954,3","66,68K","3,58%"
"04.02.2021","36.970,3","37.700,0","38.123,9","36.583,1","92,08K","-1,74%"
"03.02.2021","37.625,7","35.502,6","37.625,7","35.502,6","80,78K","6,08%"
"02.02.2021","35.468,9","33.468,4","35.720,3","33.468,4","78,06K","5,86%"
"01.02.2021","33.506,3","33.064,2","34.268,5","32.581,5","82,72K","1,25%"
"31.01.2021","33.094,3","34.272,1","34.272,1","32.674,4","68,74K","-3,42%"
"30.01.2021","34.265,6","34.237,8","34.720,0","33.344,4","84,89K","-0,13%"
"29.01.2021","34.311,9","33.351,5","37.855,1","33.023,7","231,83K","2,94%"
"28.01.2021","33.330,4","30.379,8","33.330,4","30.379,8","92,62K","9,68%"
"27.01.2021","30.388,2","32.486,2","32.486,2","30.388,2","95,91K","-6,47%"
"26.01.2021","32.489,0","32.189,6","32.489,0","31.378,7","84,97K","0,77%"
"25.01.2021","32.239,5","32.239,6","34.795,7","32.239,5","88,50K","0,05%"
"24.01.2021","32.224,5","32.023,4","32.805,4","31.500,2","57,98K","0,45%"
"23.01.2021","32.079,7","32.879,9","32.879,9","31.781,8","64,60K","-2,77%"
"22.01.2021","32.994,1","30.829,7","33.554,1","29.728,7","142,97K","6,98%"
"21.01.2021","30.842,5","35.501,5","35.501,5","30.531,9","135,00K","-13,00%"
"20.01.2021","35.450,0","35.851,6","36.339,7","34.127,8","89,37K","-1,54%"
"19.01.2021","36.002,9","36.812,0","37.392,8","36.002,9","79,61K","-1,68%"
"18.01.2021","36.619,0","35.906,3","36.843,4","35.068,2","70,70K","2,18%"
"17.01.2021","35.838,4","35.910,4","36.375,7","34.734,0","80,16K","-0,50%"
"16.01.2021","36.017,8","36.821,6","37.407,5","36.017,8","86,35K","-1,98%"
"15.01.2021","36.745,9","39.182,4","39.419,9","35.847,3","118,30K","-6,22%"
"14.01.2021","39.182,2","37.403,0","39.521,5","37.376,9","102,95K","4,82%"
"13.01.2021","37.380,3","33.946,1","37.380,3","33.200,0","124,48K","9,68%"
"12.01.2021","34.080,9","35.404,5","36.357,4","33.651,8","133,95K","-4,12%"
"11.01.2021","35.544,3","38.193,2","38.193,2","30.900,0","251,16K","-6,94%"
"10.01.2021","38.194,7","40.177,9","40.971,8","36.601,5","118,21K","-4,73%"
"09.01.2021","40.092,0","40.635,8","40.819,9","38.957,6","75,79K","-1,20%"
"08.01.2021","40.579,8","39.542,0","41.297,5","38.123,3","139,79K","2,90%"
"07.01.2021","39.436,0","36.870,9","39.761,9","36.870,9","132,83K","7,31%"
"06.01.2021","36.748,4","34.016,2","36.748,4","34.010,4","127,14K","8,21%"
"05.01.2021","33.958,7","32.046,7","34.233,6","31.027,0","116,05K","6,09%"
"04.01.2021","32.009,3","33.013,3","33.251,6","30.945,7","140,90K","-2,83%"
"03.01.2021","32.942,1","32.227,8","34.194,0","32.080,0","120,96K","2,37%"
"02.01.2021","32.178,1","29.301,9","32.916,0","29.301,9","129,99K","9,71%"
"01.01.2021","29.329,7","28.915,4","29.474,2","28.915,0","54,18K","1,36%"
